timestamp,suite,program,mode,run_index,status,stderr_note,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,5,ok,,19640566,23969124,4507155,63162,4702649,324764,69905,39223
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,6,ok,,17291629,23984842,4505099,65610,4711208,328695,63365,29704
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,7,ok,,19269328,23944521,4497623,62854,4698188,327218,69582,39387
2026-04-15T22:56:18+0800,micro,alloc_pool_style,wasm-jit,8,ok,,19744823,23869188,4482267,60372,4679374,322506,68503,39490
2026-04-15T22:56:19+0800,micro,alloc_pool_style,wasm-jit,9,ok,,19899255,23958236,4509004,57902,4696085,324459,68518,39707
2026-04-15T22:56:19+0800,micro,alloc_pool_style,wasm-jit,10,ok,,19836859,23911769,4499057,62552,4685863,324800,70519,39448
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,1,ok,,1641121,4391159,813974,5160,604567,10845,2760,209
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,2,ok,,1616164,4398271,814440,6036,605978,10794,2815,455
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,3,ok,,1562080,4381551,812196,5177,602188,10294,2562,170
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,4,ok,,1575054,4378267,811641,5308,601333,10247,2562,201
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,5,ok,,1576292,4371475,809966,5307,599537,10628,2687,236
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,6,ok,,1651494,4386721,813067,4889,603337,10550,2623,578
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,7,ok,,1685705,4378346,811988,5963,601460,11362,3024,272
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,8,ok,,1611588,4387250,812987,5192,603687,10566,2667,205
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,9,ok,,1616089,4403951,815673,5841,607281,10850,2702,282
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,native,10,ok,,1676795,4394518,814430,5839,605333,10947,2784,448
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,1,ok,,15557604,18711017,3459355,54217,4627491,262868,61279,34680
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,2,ok,,15069069,18727421,3459270,55124,4635313,264790,60802,34581
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,3,ok,,16824582,18890605,3496472,56757,4667563,266535,65900,37878
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,4,ok,,15046985,18659613,3448967,54361,4619683,262609,60364,33652
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,5,ok,,16625295,18554978,3431262,51577,4590967,261140,61821,38954
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,6,ok,,15656623,18694190,3456796,55419,4624278,263444,64124,37661
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,7,ok,,16346664,18893942,3494656,57154,4670762,266474,65937,38330
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,8,ok,,16634609,18685578,3458801,53890,4619654,261919,63237,37595
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,9,ok,,16733337,18851580,3486062,52470,4660434,264793,62960,38128
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-aot,10,ok,,15105284,18564407,3430023,55723,4596475,262922,61260,35413
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,1,ok,,19015621,21234366,3842981,64511,5257924,293613,68630,39531
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,2,ok,,17492067,21225462,3839027,64915,5263619,293881,66231,36157
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,3,ok,,16916540,21225744,3839292,64760,5262397,290484,63475,34038
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,4,ok,,16638382,21271349,3848934,63978,5269914,292260,64534,35257
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,5,ok,,18875293,21379958,3864910,63631,5299199,292338,69091,40043
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,6,ok,,18213008,21223814,3840674,63154,5259314,290663,66953,39009
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,7,ok,,18413972,21223508,3838171,63919,5262953,293918,68386,38873
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,8,ok,,17860091,21183631,3832391,63292,5252769,293841,68633,39235
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,9,ok,,18984257,21466012,3886991,63436,5321163,295117,69444,39808
2026-04-15T22:56:19+0800,micro,alloc_realloc_loop,wasm-jit,10,ok,,18714099,21313978,3858701,62903,5282346,291814,67742,39093
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,1,ok,,1595199,4210324,254574,5272,296090,10529,2625,283
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,2,ok,,1819322,4202672,253664,5951,294289,10984,3057,1024
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,3,ok,,1662149,4225336,257778,5647,299954,10742,2746,346
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,4,ok,,1678619,4237812,260108,6051,303084,11450,3066,226
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,5,ok,,1649604,4232771,258953,5903,301757,10854,2834,269
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,6,ok,,1614337,4223550,257451,5363,299710,10623,2839,222
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,7,ok,,1668780,4205133,254667,6610,295092,11373,3136,243
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,8,ok,,1704970,4208404,254633,6077,295625,11130,3152,445
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,9,ok,,1675478,4213229,255464,5328,296785,10331,2494,293
2026-04-15T22:56:20+0800,micro,alloc_small_objects,native,10,ok,,1597418,4222155,256715,5374,298948,10519,2654,217
2026-04-15T22:56:20+0800,micro,alloc_small_objects,wasm-aot,1,ok,,17594315,17777775,3252486,51666,3505526,263023,63635,38112
2026-04-15T22:56:20+0800,micro,alloc_small_objects,wasm-aot,2,ok,,17212714,17737960,3242766,46715,3498724,265551,62951,37958
