suite,target,feature,spearman_rho,n
micro,delta_l1_load_miss_rate_jit,basic_block_count,-0.16253489552397052,34
micro,delta_l1_load_miss_rate_jit,call_bb_ratio,0.15527564382786715,34
micro,delta_l1_load_miss_rate_jit,compute_density,-0.13355745877209255,34
micro,delta_l1_load_miss_rate_jit,br_instr_count,-0.12439301639069741,34
micro,delta_l1_load_miss_rate_jit,compute_mem_ratio,0.12183751648399906,34
micro,delta_l1_load_miss_rate_jit,br_density,0.08544788425197866,34
micro,delta_l1_load_miss_rate_jit,func_count,-0.07984636960487998,34
micro,delta_l1_load_miss_rate_jit,indirect_call_count,-0.07984636960487998,34
micro,delta_l1_load_miss_rate_jit,call_instr_count,-0.04824214444518694,34
micro,delta_l1_load_miss_rate_jit,avg_bb_size,-0.006877053745296353,34
micro,delta_llc_load_miss_rate_aot,mem_instr_count,-0.7128971178882904,34
micro,delta_llc_load_miss_rate_aot,ls_ratio,-0.6907618428608782,34
micro,delta_llc_load_miss_rate_aot,max_loop_depth,-0.6610592146869784,34
micro,delta_llc_load_miss_rate_aot,basic_block_count,-0.6349612260936435,34
micro,delta_llc_load_miss_rate_aot,call_bb_ratio,0.6203354031581689,34
micro,delta_llc_load_miss_rate_aot,compute_mem_ratio,0.5942063068673832,34
micro,delta_llc_load_miss_rate_aot,br_instr_count,-0.5873418368371845,34
micro,delta_llc_load_miss_rate_aot,avg_bb_out_degree,-0.5361418017148464,34
micro,delta_llc_load_miss_rate_aot,avg_bb_size,0.48169940900386904,34
micro,delta_llc_load_miss_rate_aot,total_instr_count,-0.481039895935611,34
micro,delta_llc_load_miss_rate_aot,call_density,0.3931846011677278,34
micro,delta_llc_load_miss_rate_aot,syscall_density,0.35842570442501603,34
micro,delta_llc_load_miss_rate_aot,io_density,0.35578328121232783,34
micro,delta_llc_load_miss_rate_aot,func_count,0.27502638419458664,34
micro,delta_llc_load_miss_rate_aot,indirect_call_count,0.27502638419458664,34
micro,delta_llc_load_miss_rate_aot,call_instr_count,-0.27420212423361096,34
micro,delta_llc_load_miss_rate_aot,compute_instr_count,-0.2619015592242127,34
micro,delta_llc_load_miss_rate_aot,br_density,-0.25481506806448734,34
micro,delta_llc_load_miss_rate_aot,compute_density,0.2458740860003397,34
micro,delta_llc_load_miss_rate_aot,io_call_count,-0.1673475299165165,34
micro,delta_llc_load_miss_rate_aot,syscall_count,-0.08189771420057879,34
micro,delta_llc_load_miss_rate_jit,mem_instr_count,-0.7469880610257419,34
micro,delta_llc_load_miss_rate_jit,ls_ratio,-0.7216321730064307,34
micro,delta_llc_load_miss_rate_jit,max_loop_depth,-0.6610592146869784,34
micro,delta_llc_load_miss_rate_jit,compute_mem_ratio,0.6469465116189259,34
micro,delta_llc_load_miss_rate_jit,basic_block_count,-0.6215220567166615,34
micro,delta_llc_load_miss_rate_jit,call_bb_ratio,0.6019232714789752,34
micro,delta_llc_load_miss_rate_jit,br_instr_count,-0.5771585294500369,34
micro,delta_llc_load_miss_rate_jit,avg_bb_out_degree,-0.5763734785154268,34
micro,delta_llc_load_miss_rate_jit,total_instr_count,-0.4882264423783871,34
micro,delta_llc_load_miss_rate_jit,avg_bb_size,0.47528082550825906,34
micro,delta_llc_load_miss_rate_jit,call_density,0.3780562391329027,34
micro,delta_llc_load_miss_rate_jit,syscall_density,0.3341230660439595,34
micro,delta_llc_load_miss_rate_jit,call_instr_count,-0.330380879539135,34
micro,delta_llc_load_miss_rate_jit,io_density,0.32994427196227044,34
micro,delta_llc_load_miss_rate_jit,compute_density,0.30531785197556166,34
micro,delta_llc_load_miss_rate_jit,func_count,0.2572827465046133,34
micro,delta_llc_load_miss_rate_jit,indirect_call_count,0.2572827465046133,34
micro,delta_llc_load_miss_rate_jit,br_density,-0.24885358776783764,34
micro,delta_llc_load_miss_rate_jit,compute_instr_count,-0.24598235281900047,34
micro,delta_llc_load_miss_rate_jit,io_call_count,-0.2114353763880292,34
micro,delta_llc_load_miss_rate_jit,syscall_count,-0.15298308972860925,34
micro,instructions_ratio_aot_over_native,compute_density,-0.5382029402692333,34
micro,instructions_ratio_aot_over_native,compute_mem_ratio,-0.5125736421215167,34
micro,instructions_ratio_aot_over_native,call_instr_count,0.3823578996833042,34
micro,instructions_ratio_aot_over_native,mem_instr_count,0.3664379980960496,34
micro,instructions_ratio_aot_over_native,syscall_count,0.29400359198971815,34
micro,instructions_ratio_aot_over_native,ls_ratio,0.2840987313890204,34
micro,instructions_ratio_aot_over_native,avg_bb_size,-0.1936272687842329,34
micro,instructions_ratio_aot_over_native,avg_bb_out_degree,0.1818000457934173,34
micro,instructions_ratio_aot_over_native,basic_block_count,0.18166594840179195,34
micro,instructions_ratio_aot_over_native,br_instr_count,0.1778162136063496,34
micro,instructions_ratio_aot_over_native,compute_instr_count,-0.1766419633809126,34
micro,instructions_ratio_aot_over_native,total_instr_count,0.11957190038831779,34
micro,instructions_ratio_aot_over_native,br_density,0.11204525788318487,34
micro,instructions_ratio_aot_over_native,call_bb_ratio,-0.0960499535931273,34
micro,instructions_ratio_aot_over_native,io_call_count,0.08662330398276087,34
micro,instructions_ratio_aot_over_native,call_density,0.07762836276455722,34
micro,instructions_ratio_aot_over_native,func_count,0.06210273191490665,34
micro,instructions_ratio_aot_over_native,indirect_call_count,0.06210273191490665,34
micro,instructions_ratio_aot_over_native,io_density,-0.04709121212436483,34
micro,instructions_ratio_aot_over_native,syscall_density,-0.017118839614329123,34
micro,instructions_ratio_aot_over_native,max_loop_depth,0.008508316697146336,34
micro,instructions_ratio_jit_over_native,compute_density,-0.5469132093195872,34
micro,instructions_ratio_jit_over_native,compute_mem_ratio,-0.512879382438917,34
micro,instructions_ratio_jit_over_native,call_instr_count,0.41145880617120734,34
micro,instructions_ratio_jit_over_native,mem_instr_count,0.3662794355698289,34
micro,instructions_ratio_jit_over_native,syscall_count,0.3190790157196707,34
micro,instructions_ratio_jit_over_native,ls_ratio,0.28043096939152906,34
micro,instructions_ratio_jit_over_native,avg_bb_size,-0.20554749527607985,34
micro,instructions_ratio_jit_over_native,avg_bb_out_degree,0.19089004808308818,34
micro,instructions_ratio_jit_over_native,basic_block_count,0.19051998940309772,34
micro,instructions_ratio_jit_over_native,br_instr_count,0.18502286191110032,34
micro,instructions_ratio_jit_over_native,compute_instr_count,-0.1769481019656282,34
micro,instructions_ratio_jit_over_native,total_instr_count,0.12354743671836416,34
micro,instructions_ratio_jit_over_native,br_density,0.12198105837760102,34
micro,instructions_ratio_jit_over_native,io_call_count,0.10897770501057014,34
micro,instructions_ratio_jit_over_native,call_bb_ratio,-0.09681712574642705,34
micro,instructions_ratio_jit_over_native,call_density,0.09061736047122526,34
micro,instructions_ratio_jit_over_native,io_density,-0.03149607044681544,34
micro,instructions_ratio_jit_over_native,func_count,0.026615456534959992,34
micro,instructions_ratio_jit_over_native,indirect_call_count,0.026615456534959992,34
micro,instructions_ratio_jit_over_native,max_loop_depth,0.009803060542364257,34
micro,instructions_ratio_jit_over_native,syscall_density,-0.0027512420808743234,34
poly,cycles_ratio_aot_over_native,total_instr_count,-0.4509454949944383,30
poly,cycles_ratio_aot_over_native,mem_instr_count,-0.40418432671207627,30
poly,cycles_ratio_aot_over_native,br_instr_count,-0.36895045370157914,30
poly,cycles_ratio_aot_over_native,basic_block_count,-0.3682341227119138,30
poly,cycles_ratio_aot_over_native,max_loop_depth,-0.3641702295562122,30
poly,cycles_ratio_aot_over_native,ls_ratio,-0.2729699666295884,30
poly,cycles_ratio_aot_over_native,call_instr_count,-0.24285675161043577,30
poly,cycles_ratio_aot_over_native,compute_instr_count,-0.17652395907370783,30
poly,cycles_ratio_aot_over_native,call_density,-0.10680071140353672,30
poly,cycles_ratio_aot_over_native,compute_mem_ratio,0.09500500670647623,30
poly,cycles_ratio_aot_over_native,br_density,-0.09098998887652948,30
poly,cycles_ratio_aot_over_native,avg_bb_size,0.08209121245828699,30
poly,cycles_ratio_aot_over_native,compute_density,0.05117365700817222,30
poly,cycles_ratio_aot_over_native,call_bb_ratio,-0.046896273625549594,30
poly,cycles_ratio_aot_over_native,avg_bb_out_degree,-0.008971242452938389,30
poly,cycles_ratio_jit_over_native,total_instr_count,-0.4420467185761958,30
poly,cycles_ratio_jit_over_native,mem_instr_count,-0.3917204928487083,30
poly,cycles_ratio_jit_over_native,max_loop_depth,-0.3694307318872935,30
poly,cycles_ratio_jit_over_native,br_instr_count,-0.36130614204657996,30
poly,cycles_ratio_jit_over_native,basic_block_count,-0.36036587222661653,30
poly,cycles_ratio_jit_over_native,ls_ratio,-0.2716351501668521,30
poly,cycles_ratio_jit_over_native,call_instr_count,-0.22839830314246562,30
poly,cycles_ratio_jit_over_native,compute_instr_count,-0.16402668763486125,30
poly,cycles_ratio_jit_over_native,br_density,-0.10478309232480533,30
poly,cycles_ratio_jit_over_native,call_density,-0.10189545952278974,30
poly,cycles_ratio_jit_over_native,compute_mem_ratio,0.10034486656819855,30
poly,cycles_ratio_jit_over_native,avg_bb_size,0.09766407119021134,30
poly,cycles_ratio_jit_over_native,compute_density,0.0591834468007557,30
poly,cycles_ratio_jit_over_native,call_bb_ratio,-0.042653277440380825,30
poly,cycles_ratio_jit_over_native,avg_bb_out_degree,0.028622535445089144,30
poly,delta_branch_miss_rate_aot,br_instr_count,-0.4683265052165688,30
poly,delta_branch_miss_rate_aot,basic_block_count,-0.46804850029682815,30
poly,delta_branch_miss_rate_aot,compute_mem_ratio,-0.44966069918920015,30
poly,delta_branch_miss_rate_aot,compute_instr_count,-0.4440994672018692,30
poly,delta_branch_miss_rate_aot,compute_density,-0.4251863414896396,30
poly,delta_branch_miss_rate_aot,total_instr_count,-0.3819799777530589,30
poly,delta_branch_miss_rate_aot,mem_instr_count,-0.35766751818629217,30
poly,delta_branch_miss_rate_aot,max_loop_depth,-0.29913129164466284,30
poly,delta_branch_miss_rate_aot,avg_bb_size,0.27252502780867627,30
poly,delta_branch_miss_rate_aot,br_density,-0.26941045606229147,30
poly,delta_branch_miss_rate_aot,call_bb_ratio,0.17150637211629566,30
poly,delta_branch_miss_rate_aot,call_density,0.10412511946858381,30
poly,delta_branch_miss_rate_aot,ls_ratio,0.10389321468298107,30
poly,delta_branch_miss_rate_aot,call_instr_count,-0.08019920634577181,30
poly,delta_branch_miss_rate_aot,avg_bb_out_degree,-0.03289455566077409,30
poly,delta_branch_miss_rate_jit,br_instr_count,-0.4575345358212758,30
poly,delta_branch_miss_rate_jit,basic_block_count,-0.4572577567741348,30
poly,delta_branch_miss_rate_jit,compute_mem_ratio,-0.4416509093966167,30
poly,delta_branch_miss_rate_jit,compute_instr_count,-0.43494967918414235,30
poly,delta_branch_miss_rate_jit,compute_density,-0.41606408089253055,30
poly,delta_branch_miss_rate_jit,total_instr_count,-0.38064516129032255,30
poly,delta_branch_miss_rate_jit,mem_instr_count,-0.3521033066401457,30
poly,delta_branch_miss_rate_jit,max_loop_depth,-0.3220862109075627,30
poly,delta_branch_miss_rate_jit,avg_bb_size,0.25383759733036704,30
poly,delta_branch_miss_rate_jit,br_density,-0.2516129032258065,30
poly,delta_branch_miss_rate_jit,call_bb_ratio,0.17217631888237495,30
poly,delta_branch_miss_rate_jit,ls_ratio,0.11857619577308119,30
poly,delta_branch_miss_rate_jit,call_density,0.10680071140353672,30
poly,delta_branch_miss_rate_jit,call_instr_count,-0.07522911468490708,30
poly,delta_branch_miss_rate_jit,avg_bb_out_degree,-0.03289455566077409,30
poly,delta_ipc_aot,avg_bb_size,-0.4331479421579533,30
poly,delta_ipc_aot,br_density,0.4331479421579533,30
poly,delta_ipc_aot,ls_ratio,-0.32057842046718577,30
poly,delta_ipc_aot,call_bb_ratio,-0.26708544407693957,30
poly,delta_ipc_aot,br_instr_count,0.21538972251438931,30
poly,delta_ipc_aot,basic_block_count,0.21131872731941334,30
poly,delta_ipc_aot,call_density,-0.1870684694521238,30
poly,delta_ipc_aot,compute_mem_ratio,0.18422516522941998,30
poly,delta_ipc_aot,call_instr_count,-0.1262855108374266,30
poly,delta_ipc_aot,compute_density,0.1156969636706502,30
poly,delta_ipc_aot,max_loop_depth,0.10305802294072718,30
poly,delta_ipc_aot,compute_instr_count,0.06918132403647209,30
poly,delta_ipc_aot,avg_bb_out_degree,-0.06792512142939065,30
poly,delta_ipc_aot,total_instr_count,0.029143492769744164,30
poly,delta_ipc_aot,mem_instr_count,0.023147120031969125,30
poly,delta_ipc_jit,avg_bb_size,-0.4518353726362625,30
poly,delta_ipc_jit,br_density,0.4518353726362625,30
poly,delta_ipc_jit,ls_ratio,-0.33793103448275863,30
poly,delta_ipc_jit,call_bb_ratio,-0.2891936873575558,30
poly,delta_ipc_jit,call_density,-0.2093650689100647,30
poly,delta_ipc_jit,br_instr_count,0.20437292042336103,30
poly,delta_ipc_jit,basic_block_count,0.20007836948327432,30
poly,delta_ipc_jit,compute_mem_ratio,0.175102904632311,30
poly,delta_ipc_jit,call_instr_count,-0.15655788731723908,30
poly,delta_ipc_jit,compute_density,0.10501724394720557,30
poly,delta_ipc_jit,max_loop_depth,0.08201601361640236,30
poly,delta_ipc_jit,avg_bb_out_degree,-0.06707071738625366,30
poly,delta_ipc_jit,compute_instr_count,0.04865009238693843,30
poly,delta_ipc_jit,total_instr_count,0.005561735261401557,30
poly,delta_ipc_jit,mem_instr_count,-0.0031159584658419976,30
poly,delta_l1_load_miss_rate_aot,basic_block_count,-0.4844594227375911,30
poly,delta_l1_load_miss_rate_aot,br_instr_count,-0.48361512852656713,30
poly,delta_l1_load_miss_rate_aot,max_loop_depth,-0.4091236131127243,30
poly,delta_l1_load_miss_rate_aot,total_instr_count,-0.40734149054505003,30
poly,delta_l1_load_miss_rate_aot,mem_instr_count,-0.38304032283671985,30
poly,delta_l1_load_miss_rate_aot,call_instr_count,-0.35807251283957275,30
poly,delta_l1_load_miss_rate_aot,compute_instr_count,-0.2686913359352013,30
poly,delta_l1_load_miss_rate_aot,avg_bb_size,0.2587319243604005,30
poly,delta_l1_load_miss_rate_aot,br_density,-0.24938820912124582,30
poly,delta_l1_load_miss_rate_aot,avg_bb_out_degree,0.22769867749600767,30
poly,delta_l1_load_miss_rate_aot,call_density,-0.22318896057398802,30
poly,delta_l1_load_miss_rate_aot,ls_ratio,-0.21379310344827587,30
poly,delta_l1_load_miss_rate_aot,call_bb_ratio,-0.16101053944772029,30
poly,delta_l1_load_miss_rate_aot,compute_density,-0.14462120458831276,30
poly,delta_l1_load_miss_rate_aot,compute_mem_ratio,-0.12148181185418273,30
poly,delta_l1_load_miss_rate_jit,basic_block_count,-0.4844594227375911,30
poly,delta_l1_load_miss_rate_jit,br_instr_count,-0.48361512852656713,30
poly,delta_l1_load_miss_rate_jit,max_loop_depth,-0.4091236131127243,30
poly,delta_l1_load_miss_rate_jit,total_instr_count,-0.40734149054505003,30
poly,delta_l1_load_miss_rate_jit,mem_instr_count,-0.38304032283671985,30
poly,delta_l1_load_miss_rate_jit,call_instr_count,-0.35807251283957275,30
poly,delta_l1_load_miss_rate_jit,compute_instr_count,-0.2686913359352013,30
poly,delta_l1_load_miss_rate_jit,avg_bb_size,0.2587319243604005,30
poly,delta_l1_load_miss_rate_jit,br_density,-0.24938820912124582,30
poly,delta_l1_load_miss_rate_jit,avg_bb_out_degree,0.22769867749600767,30
poly,delta_l1_load_miss_rate_jit,call_density,-0.22318896057398802,30
poly,delta_l1_load_miss_rate_jit,ls_ratio,-0.21379310344827587,30
poly,delta_l1_load_miss_rate_jit,call_bb_ratio,-0.16101053944772029,30
poly,delta_l1_load_miss_rate_jit,compute_density,-0.14462120458831276,30
poly,delta_l1_load_miss_rate_jit,compute_mem_ratio,-0.12148181185418273,30
poly,delta_llc_load_miss_rate_aot,total_instr_count,-0.49766407119021133,30
poly,delta_llc_load_miss_rate_aot,br_instr_count,-0.4721486610440684,30
poly,delta_llc_load_miss_rate_aot,basic_block_count,-0.4709709933342244,30
poly,delta_llc_load_miss_rate_aot,compute_instr_count,-0.45369558634241214,30
poly,delta_llc_load_miss_rate_aot,mem_instr_count,-0.4511462721615522,30
poly,delta_llc_load_miss_rate_aot,max_loop_depth,-0.39334210611948073,30
poly,delta_llc_load_miss_rate_aot,compute_density,-0.3682278362979349,30
poly,delta_llc_load_miss_rate_aot,compute_mem_ratio,-0.3633329647580227,30
poly,delta_llc_load_miss_rate_aot,call_instr_count,-0.2234282114816009,30
poly,delta_llc_load_miss_rate_aot,avg_bb_out_degree,-0.16447277830387047,30
poly,delta_llc_load_miss_rate_aot,call_density,-0.08539597592391349,30
poly,delta_llc_load_miss_rate_aot,avg_bb_size,-0.07096774193548387,30
