program,mode,event,event_alias,repeat_count,median_value
llvmss_misc_flops-4,wasm-aot,r82d0,all_stores_retired,5,2719922.0
llvmss_misc_flops-4,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,613834.0
llvmss_misc_flops-4,wasm-jit,branch-misses,branch_misses,5,66166.0
llvmss_misc_flops-4,wasm-jit,cpu-cycles,cpu_cycles,5,1491550918.0
llvmss_misc_flops-4,wasm-jit,r00c4,branches_retired,5,159994354.0
llvmss_misc_flops-4,wasm-jit,r01c4,conditional_branches,5,157121422.0
llvmss_misc_flops-4,wasm-jit,r1c0,instructions_retired,5,3145178145.0
llvmss_misc_flops-4,wasm-jit,r81d0,all_loads_retired,5,317350319.0
llvmss_misc_flops-4,wasm-jit,r82d0,all_stores_retired,5,2986961.0
llvmss_misc_flops-5,native,L1-icache-load-misses,L1_icache_load_misses,5,154208.0
llvmss_misc_flops-5,native,branch-misses,branch_misses,5,10901.0
llvmss_misc_flops-5,native,cpu-cycles,cpu_cycles,5,3040190215.0
llvmss_misc_flops-5,native,r00c4,branches_retired,5,157539203.0
llvmss_misc_flops-5,native,r01c4,conditional_branches,5,156476133.0
llvmss_misc_flops-5,native,r1c0,instructions_retired,5,5788635657.0
llvmss_misc_flops-5,native,r81d0,all_loads_retired,5,314337399.0
llvmss_misc_flops-5,native,r82d0,all_stores_retired,5,1147825.0
llvmss_misc_flops-5,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,599914.0
llvmss_misc_flops-5,wasm-aot,branch-misses,branch_misses,5,57972.0
llvmss_misc_flops-5,wasm-aot,cpu-cycles,cpu_cycles,5,2925323756.0
llvmss_misc_flops-5,wasm-aot,r00c4,branches_retired,5,160194686.0
llvmss_misc_flops-5,wasm-aot,r01c4,conditional_branches,5,157139951.0
llvmss_misc_flops-5,wasm-aot,r1c0,instructions_retired,5,5802390266.0
llvmss_misc_flops-5,wasm-aot,r81d0,all_loads_retired,5,786337445.0
llvmss_misc_flops-5,wasm-aot,r82d0,all_stores_retired,5,3191229.0
llvmss_misc_flops-5,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,649749.0
llvmss_misc_flops-5,wasm-jit,branch-misses,branch_misses,5,67203.0
llvmss_misc_flops-5,wasm-jit,cpu-cycles,cpu_cycles,5,2927795577.0
llvmss_misc_flops-5,wasm-jit,r00c4,branches_retired,5,160512278.0
llvmss_misc_flops-5,wasm-jit,r01c4,conditional_branches,5,157208516.0
llvmss_misc_flops-5,wasm-jit,r1c0,instructions_retired,5,5804424648.0
llvmss_misc_flops-5,wasm-jit,r81d0,all_loads_retired,5,786852187.0
llvmss_misc_flops-5,wasm-jit,r82d0,all_stores_retired,5,3455859.0
llvmss_misc_flops-6,native,L1-icache-load-misses,L1_icache_load_misses,5,145631.0
llvmss_misc_flops-6,native,branch-misses,branch_misses,5,10149.0
llvmss_misc_flops-6,native,cpu-cycles,cpu_cycles,5,2841488541.0
llvmss_misc_flops-6,native,r00c4,branches_retired,5,157460259.0
llvmss_misc_flops-6,native,r01c4,conditional_branches,5,156463328.0
llvmss_misc_flops-6,native,r1c0,instructions_retired,5,5788150962.0
llvmss_misc_flops-6,native,r81d0,all_loads_retired,5,314221132.0
llvmss_misc_flops-6,native,r82d0,all_stores_retired,5,1074635.0
llvmss_misc_flops-6,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,585235.0
llvmss_misc_flops-6,wasm-aot,branch-misses,branch_misses,5,57604.0
llvmss_misc_flops-6,wasm-aot,cpu-cycles,cpu_cycles,5,2845502312.0
llvmss_misc_flops-6,wasm-aot,r00c4,branches_retired,5,160169315.0
llvmss_misc_flops-6,wasm-aot,r01c4,conditional_branches,5,157137181.0
llvmss_misc_flops-6,wasm-aot,r1c0,instructions_retired,5,5802205597.0
llvmss_misc_flops-6,wasm-aot,r81d0,all_loads_retired,5,786296602.0
llvmss_misc_flops-6,wasm-aot,r82d0,all_stores_retired,5,3159583.0
llvmss_misc_flops-6,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,654786.0
