static_feature,perf_ratio,n,spearman_rho,p_value,abs_rho,fdr_q,fdr_sig_0.05,fdr_sig_0.10
loop_count,ratio_conditional_branches_over_native,52,0.1737505651186594,0.2179972538308906,0.1737505651186594,0.3158385409833376,False,False
alloc_call_count,ratio_L1_icache_load_misses_over_native,52,-0.1686879620041207,0.23191295397450454,0.1686879620041207,0.33005348460468675,False,False
cfg_edge_count,ratio_branches_retired_over_native,52,0.1683275772042356,0.23292634123057984,0.1683275772042356,0.33005348460468675,False,False
branch_density,ratio_instructions_retired_over_native,52,0.1679409134291468,0.2340170060853472,0.1679409134291468,0.33005348460468675,False,False
avg_bb_size,ratio_branches_retired_over_native,52,-0.1675992228626582,0.23498373088703245,0.1675992228626582,0.33005348460468675,False,False
load_count,ratio_cpu_cycles_over_native,52,0.16623213144016663,0.2388789715881337,0.16623213144016663,0.3329828088804288,False,False
memory_access_density,ratio_all_loads_retired_over_native,52,-0.16344145452167969,0.24696694426106197,0.16344145452167969,0.34166855446643163,False,False
branch_instr_count,ratio_branches_retired_over_native,52,0.15451154534245892,0.274087634117697,0.15451154534245892,0.37635913938549437,False,False
call_instr_count,ratio_instructions_retired_over_native,52,-0.15226792391824306,0.28120033401667993,0.15226792391824306,0.3832656404375489,False,False
avg_bb_out_degree,ratio_conditional_branches_over_native,52,0.15111402048119377,0.28490530264064706,0.15111402048119377,0.38546011533734603,False,False
call_instr_count,ratio_branch_misses_over_native,52,0.14551375997128,0.3033396305957387,0.14551375997128,0.4050315430376784,False,False
memory_instr_count,ratio_branch_misses_over_native,52,-0.14494011038542018,0.3052703430274512,0.14494011038542018,0.4050315430376784,False,False
avg_bb_out_degree,ratio_L1_icache_load_misses_over_native,52,0.14473135066634885,0.30597491566433316,0.14473135066634885,0.4050315430376784,False,False
load_count,ratio_conditional_branches_over_native,52,-0.13962472388592484,0.3235351321023281,0.13962472388592484,0.4252176021916312,False,False
avg_bb_out_degree,ratio_cpu_cycles_over_native,52,0.13351855234297258,0.345351054575493,0.13351855234297258,0.45067087972972136,False,False
ir_instruction_count,ratio_branch_misses_over_native,52,-0.13148792394608733,0.35280281867359287,0.13148792394608733,0.4551545413960628,False,False
load_store_ratio,ratio_instructions_retired_over_native,52,-0.1312359703618771,0.35373423597628795,0.1312359703618771,0.4551545413960628,False,False
memory_access_density,ratio_all_stores_retired_over_native,52,-0.1294374300054076,0.3604267402588278,0.1294374300054076,0.4587863419743827,False,False
max_loop_depth,ratio_all_loads_retired_over_native,52,-0.12880633275108322,0.3627932418937324,0.12880633275108322,0.4587863419743827,False,False
branch_density,ratio_cpu_cycles_over_native,52,0.1284756529997135,0.3640369887405428,0.1284756529997135,0.4587863419743827,False,False
memory_instr_count,ratio_instructions_retired_over_native,52,0.12715394934697336,0.3690339216071137,0.12715394934697336,0.46192001071910826,False,False
hostcall_density,ratio_conditional_branches_over_native,52,-0.11499853517312121,0.4169029762053956,0.11499853517312121,0.5183118082553567,False,False
call_instr_count,ratio_branches_retired_over_native,52,-0.11336735941358243,0.4235859018219097,0.11336735941358243,0.5230859458740361,False,False
ir_instruction_count,ratio_conditional_branches_over_native,52,0.11260629224232821,0.4267246666051514,0.11260629224232821,0.5234489243689857,False,False
compute_density,ratio_conditional_branches_over_native,52,-0.1110494341087949,0.4331861858564594,0.1110494341087949,0.5278560145535665,False,False
load_store_ratio,ratio_cpu_cycles_over_native,52,-0.10900707635921388,0.44174532349433926,0.10900707635921388,0.5347443389668317,False,False
memory_instr_count,ratio_L1_icache_load_misses_over_native,52,0.0991065415555764,0.4845405282534414,0.0991065415555764,0.5823284443925452,False,False
max_loop_depth,ratio_all_stores_retired_over_native,52,-0.09846570426106947,0.4873835893285433,0.09846570426106947,0.5823284443925452,False,False
load_count,ratio_instructions_retired_over_native,52,0.08675212623794595,0.5408514596508412,0.08675212623794595,0.6420430230693858,False,False
