static_feature,perf_ratio,wasmtime_spearman_rho,wasmtime_p_value,wasmtime_fdr_q,wasmtime_fdr_sig_0.10,wasmer_spearman_rho,wasmer_p_value,wasmer_fdr_q,wasmer_fdr_sig_0.10,max_abs_rho
cfg_edge_count,ratio_cpu_cycles_over_native,0.3065625890865393,0.0270747693589079,0.0607531410004764,True,0.4056859382593581,0.0028470433108243,0.0100741532536862,True,0.4056859382593581
branch_instr_count,ratio_branch_misses_over_native,-0.3704115161071742,0.006871017843507,0.0257279112519323,True,-0.4040537605476199,0.0029717806437228,0.0103171252536793,True,0.4040537605476199
cfg_edge_count,ratio_instructions_retired_over_native,0.3562543468083461,0.0095364935350175,0.0302537036283315,True,0.4020436104682309,0.003132029564263,0.0106721007374888,True,0.4020436104682309
call_to_bb_ratio,ratio_all_loads_retired_over_native,0.4009570026504144,0.0032217946091685,0.016937434516772,True,0.3454227917570052,0.0121398047845843,0.0290094036410846,True,0.4009570026504144
hostcall_density,ratio_cpu_cycles_over_native,-0.3372208159942863,0.014497337029694,0.0392280884332898,True,-0.3998463184325463,0.0033158897490612,0.0110931584332231,True,0.3998463184325463
call_to_bb_ratio,ratio_cpu_cycles_over_native,-0.3096245850426384,0.0255052708921506,0.0594046815715914,True,-0.3971123265116399,0.0035579195840648,0.0116437798032195,True,0.3971123265116399
basic_block_count,ratio_branch_misses_over_native,-0.3696773354922354,0.0069912802315033,0.0257279112519323,True,-0.3962430422891577,0.0036380717841339,0.0116437798032195,True,0.3962430422891577
avg_bb_out_degree,ratio_L1_icache_load_misses_over_native,0.1447313506663488,0.3059749156643331,0.4050315430376784,False,0.3958980331099769,0.0036703218944931,0.0116437798032195,True,0.3958980331099769
cfg_edge_count,ratio_branch_misses_over_native,-0.3636257244808655,0.0080543528107997,0.027447513796505,True,-0.394151900254122,0.0038374390164891,0.0119676064243052,True,0.394151900254122
compute_instr_count,ratio_branches_retired_over_native,0.3922056851231684,0.0040315704870562,0.0195635105561445,True,0.1814453409275412,0.1979790298066103,0.2780774159115748,False,0.3922056851231684
memory_instr_count,ratio_all_stores_retired_over_native,-0.3865069610277871,0.0046505945093543,0.020991196081591,True,-0.3895853350536722,0.0043065724271046,0.0130874682147459,True,0.3895853350536722
loop_count,ratio_all_stores_retired_over_native,-0.3459373751512508,0.0120035731330704,0.0360019771304149,True,-0.3892881411483563,0.0043387802233668,0.0130874682147459,True,0.3892881411483563
load_count,ratio_all_loads_retired_over_native,-0.3698515204404737,0.0069625832874639,0.0257279112519323,True,-0.3878179371169714,0.004501244379354,0.01335853170647,True,0.3878179371169714
hostcall_count,ratio_branches_retired_over_native,-0.3860749570280867,0.0047007534945741,0.020991196081591,True,-0.3866015425571089,0.0046396757625395,0.0135507990524965,True,0.3866015425571089
branch_instr_count,ratio_instructions_retired_over_native,0.3344281876463884,0.0153846524136326,0.0410257397696869,True,0.3843713134136478,0.0049032172574775,0.0140967496152479,True,0.3843713134136478
loop_count,ratio_branches_retired_over_native,0.3838149983471186,0.0049709666152679,0.020991196081591,True,0.2533283239430053,0.0699778709565013,0.1139462677521792,False,0.3838149983471186
store_count,ratio_all_loads_retired_over_native,-0.3834194615012517,0.0050196338455978,0.020991196081591,True,-0.3826427846717421,0.0051164133437013,0.0143949925914012,True,0.3834194615012517
basic_block_count,ratio_conditional_branches_over_native,0.2397813795306613,0.0868722890460134,0.1480046405969118,False,0.382270170532335,0.0051634212556113,0.0143949925914012,True,0.382270170532335
function_count,ratio_conditional_branches_over_native,0.2145969050584856,0.1265814832749014,0.1990683155776227,False,0.381194175842665,0.0053012958806755,0.014558782717079,True,0.381194175842665
memory_access_density,ratio_L1_icache_load_misses_over_native,-0.3708830915204451,0.0067947253475507,0.0257279112519323,True,-0.3789141927881074,0.00560413918243,0.0151641413171635,True,0.3789141927881074
compute_instr_count,ratio_L1_icache_load_misses_over_native,0.2613565014396707,0.0612718680338606,0.1127402371823035,False,0.378189182102859,0.0057035595411767,0.0152094921098045,True,0.378189182102859
store_count,ratio_L1_icache_load_misses_over_native,0.2449120935720352,0.0801332698473818,0.137799267774937,False,0.3768608571631704,0.0058897182846073,0.0154815452052536,True,0.3768608571631704
store_count,ratio_cpu_cycles_over_native,0.2568211382911828,0.0660763926267227,0.1203767944882869,False,0.3717693090586073,0.0066533458790279,0.01724247382734,True,0.3717693090586073
cfg_edge_count,ratio_conditional_branches_over_native,0.2308542042852525,0.0996462165585615,0.1628929349495146,False,0.3708236579728549,0.0068042998112835,0.0173887661843911,True,0.3708236579728549
ir_instruction_count,ratio_L1_icache_load_misses_over_native,0.2305951310789407,0.1000375089635605,0.1628929349495146,False,0.3672947271242557,0.0073942772648564,0.0186376303662136,True,0.3672947271242557
loop_count,ratio_all_loads_retired_over_native,-0.3663530665526933,0.0075590341187158,0.0267473514969947,True,-0.3107528857147223,0.0249465141326975,0.0488314744725142,True,0.3663530665526933
memory_access_density,ratio_conditional_branches_over_native,-0.3636209254805378,0.0080552486141917,0.027447513796505,True,-0.3318382694000021,0.016248573396578,0.0360209337948235,True,0.3636209254805378
branch_instr_count,ratio_conditional_branches_over_native,0.2178075207072148,0.1208681496904349,0.191721892612414,False,0.3610471800258131,0.0085483121107915,0.021255262545752,True,0.3610471800258131
hostcall_density,ratio_all_loads_retired_over_native,0.3589218768664801,0.0089749776370671,0.0294892122360778,True,0.3425179253410423,0.0129340206762811,0.0297482475554465,True,0.3589218768664801
load_store_ratio,ratio_L1_icache_load_misses_over_native,-0.3324929568321433,0.0160263766887999,0.0421264758677026,True,-0.3583126721736983,0.0091006282184768,0.0223268745626632,True,0.3583126721736983
hostcall_density,ratio_branches_retired_over_native,-0.3492674678957798,0.0111533217984543,0.0342035201819267,True,-0.2800632973978391,0.0443347884633304,0.0784384718966616,True,0.3492674678957798
hostcall_count,ratio_cpu_cycles_over_native,-0.3135816825327015,0.0235906541167316,0.0556497481728028,True,-0.3477219776643055,0.0115412444976646,0.027941960362767,True,0.3477219776643055
compute_instr_count,ratio_all_loads_retired_over_native,-0.3454555195615268,0.0121311009895963,0.0360019771304149,True,-0.3373362037875672,0.014461635754417,0.0324504997416187,True,0.3454555195615268
hostcall_density,ratio_L1_icache_load_misses_over_native,-0.2229057788013917,0.1122006556473738,0.1795210490357981,False,-0.3438849213014954,0.0125548884178508,0.0296166598574944,True,0.3438849213014954
avg_bb_size,ratio_all_loads_retired_over_native,0.3437407098875314,0.0125944296339529,0.0362089851976146,True,0.279161192821186,0.0450525594078051,0.078949246962249,True,0.3437407098875314
max_loop_depth,ratio_cpu_cycles_over_native,0.3235705535239355,0.0192882025660564,0.0486168393445806,True,0.3428867921588822,0.0128307616973293,0.0297482475554465,True,0.3428867921588822
