program,mode,event,event_alias,repeat_count,median_value
llvmss_misc_flops-6,wasm-jit,cpu-cycles,cpu_cycles,5,3034682395.0
llvmss_misc_flops-6,wasm-jit,r00c4,branches_retired,5,321422176.0
llvmss_misc_flops-6,wasm-jit,r01c4,conditional_branches,5,2013258.0
llvmss_misc_flops-6,wasm-jit,r1c0,instructions_retired,5,6610358762.0
llvmss_misc_flops-6,wasm-jit,r81d0,all_loads_retired,5,949448169.0
llvmss_misc_flops-6,wasm-jit,r82d0,all_stores_retired,5,163775117.0
llvmss_misc_flops-7,native,L1-icache-load-misses,L1_icache_load_misses,5,128782.0
llvmss_misc_flops-7,native,branch-misses,branch_misses,5,10445.0
llvmss_misc_flops-7,native,cpu-cycles,cpu_cycles,5,1922048630.0
llvmss_misc_flops-7,native,r00c4,branches_retired,5,157105967.0
llvmss_misc_flops-7,native,r01c4,conditional_branches,5,156409194.0
llvmss_misc_flops-7,native,r1c0,instructions_retired,5,3286170529.0
llvmss_misc_flops-7,native,r81d0,all_loads_retired,5,1220916.0
llvmss_misc_flops-7,native,r82d0,all_stores_retired,5,768720.0
llvmss_misc_flops-7,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,990921.0
llvmss_misc_flops-7,wasm-aot,branch-misses,branch_misses,5,129707.0
llvmss_misc_flops-7,wasm-aot,cpu-cycles,cpu_cycles,5,1917523366.0
llvmss_misc_flops-7,wasm-aot,r00c4,branches_retired,5,164040637.0
llvmss_misc_flops-7,wasm-aot,r01c4,conditional_branches,5,158052706.0
llvmss_misc_flops-7,wasm-aot,r1c0,instructions_retired,5,2541507049.0
llvmss_misc_flops-7,wasm-aot,r81d0,all_loads_retired,5,322710028.0
llvmss_misc_flops-7,wasm-aot,r82d0,all_stores_retired,5,6368883.0
llvmss_misc_flops-7,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1073080.0
llvmss_misc_flops-7,wasm-jit,branch-misses,branch_misses,5,147588.0
llvmss_misc_flops-7,wasm-jit,cpu-cycles,cpu_cycles,5,1920991915.0
llvmss_misc_flops-7,wasm-jit,r00c4,branches_retired,5,164779789.0
llvmss_misc_flops-7,wasm-jit,r01c4,conditional_branches,5,158193965.0
llvmss_misc_flops-7,wasm-jit,r1c0,instructions_retired,5,2545542473.0
llvmss_misc_flops-7,wasm-jit,r81d0,all_loads_retired,5,323869923.0
llvmss_misc_flops-7,wasm-jit,r82d0,all_stores_retired,5,7152088.0
llvmss_misc_flops-8,native,L1-icache-load-misses,L1_icache_load_misses,5,184194.0
llvmss_misc_flops-8,native,branch-misses,branch_misses,5,11726.0
llvmss_misc_flops-8,native,cpu-cycles,cpu_cycles,5,3084766343.0
llvmss_misc_flops-8,native,r00c4,branches_retired,5,157504720.0
llvmss_misc_flops-8,native,r01c4,conditional_branches,5,156483196.0
llvmss_misc_flops-8,native,r1c0,instructions_retired,5,5944723109.0
llvmss_misc_flops-8,native,r81d0,all_loads_retired,5,314300524.0
llvmss_misc_flops-8,native,r82d0,all_stores_retired,5,1134808.0
llvmss_misc_flops-8,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1036885.0
llvmss_misc_flops-8,wasm-aot,branch-misses,branch_misses,5,132942.0
llvmss_misc_flops-8,wasm-aot,cpu-cycles,cpu_cycles,5,3100347300.0
llvmss_misc_flops-8,wasm-aot,r00c4,branches_retired,5,320687901.0
llvmss_misc_flops-8,wasm-aot,r01c4,conditional_branches,5,1871930.0
llvmss_misc_flops-8,wasm-aot,r1c0,instructions_retired,5,7543805586.0
llvmss_misc_flops-8,wasm-aot,r81d0,all_loads_retired,5,1260787596.0
llvmss_misc_flops-8,wasm-aot,r82d0,all_stores_retired,5,631739839.0
llvmss_misc_flops-8,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1131505.0
llvmss_misc_flops-8,wasm-jit,branch-misses,branch_misses,5,153064.0
llvmss_misc_flops-8,wasm-jit,cpu-cycles,cpu_cycles,5,3103182124.0
llvmss_misc_flops-8,wasm-jit,r00c4,branches_retired,5,321457662.0
llvmss_misc_flops-8,wasm-jit,r01c4,conditional_branches,5,2020620.0
llvmss_misc_flops-8,wasm-jit,r1c0,instructions_retired,5,7548035354.0
llvmss_misc_flops-8,wasm-jit,r81d0,all_loads_retired,5,1261989582.0
llvmss_misc_flops-8,wasm-jit,r82d0,all_stores_retired,5,632556571.0
llvmss_misc_mandel-2,native,L1-icache-load-misses,L1_icache_load_misses,5,162646.0
llvmss_misc_mandel-2,native,branch-misses,branch_misses,5,15097.0
llvmss_misc_mandel-2,native,cpu-cycles,cpu_cycles,5,2123201024.0
llvmss_misc_mandel-2,native,r00c4,branches_retired,5,471801653.0
llvmss_misc_mandel-2,native,r01c4,conditional_branches,5,157070486.0
llvmss_misc_mandel-2,native,r1c0,instructions_retired,5,3457728148.0
llvmss_misc_mandel-2,native,r81d0,all_loads_retired,5,1812023.0
llvmss_misc_mandel-2,native,r82d0,all_stores_retired,5,1204943.0
llvmss_misc_mandel-2,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1632868.0
llvmss_misc_mandel-2,wasm-aot,branch-misses,branch_misses,5,173206.0
llvmss_misc_mandel-2,wasm-aot,cpu-cycles,cpu_cycles,5,2156101377.0
llvmss_misc_mandel-2,wasm-aot,r00c4,branches_retired,5,950308524.0
llvmss_misc_mandel-2,wasm-aot,r01c4,conditional_branches,5,2194377.0
llvmss_misc_mandel-2,wasm-aot,r1c0,instructions_retired,5,4284680642.0
llvmss_misc_mandel-2,wasm-aot,r81d0,all_loads_retired,5,639735650.0
llvmss_misc_mandel-2,wasm-aot,r82d0,all_stores_retired,5,321556199.0
llvmss_misc_mandel-2,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1682181.0
llvmss_misc_mandel-2,wasm-jit,branch-misses,branch_misses,5,190802.0
llvmss_misc_mandel-2,wasm-jit,cpu-cycles,cpu_cycles,5,2160817218.0
llvmss_misc_mandel-2,wasm-jit,r00c4,branches_retired,5,951083190.0
llvmss_misc_mandel-2,wasm-jit,r01c4,conditional_branches,5,2346544.0
llvmss_misc_mandel-2,wasm-jit,r1c0,instructions_retired,5,4288934243.0
llvmss_misc_mandel-2,wasm-jit,r81d0,all_loads_retired,5,640955650.0
llvmss_misc_mandel-2,wasm-jit,r82d0,all_stores_retired,5,322379081.0
llvmss_misc_matmul_f64_4x4,native,L1-icache-load-misses,L1_icache_load_misses,5,114800.0
llvmss_misc_matmul_f64_4x4,native,branch-misses,branch_misses,5,10579.0
llvmss_misc_matmul_f64_4x4,native,cpu-cycles,cpu_cycles,5,1456153836.0
llvmss_misc_matmul_f64_4x4,native,r00c4,branches_retired,5,150720373.0
llvmss_misc_matmul_f64_4x4,native,r01c4,conditional_branches,5,50137570.0
llvmss_misc_matmul_f64_4x4,native,r1c0,instructions_retired,5,6804117563.0
llvmss_misc_matmul_f64_4x4,native,r81d0,all_loads_retired,5,1651016429.0
llvmss_misc_matmul_f64_4x4,native,r82d0,all_stores_retired,5,750635548.0
llvmss_misc_matmul_f64_4x4,wasm-aot,L1-icache-load-misses,L1_icache_load_misses,5,1067165.0
llvmss_misc_matmul_f64_4x4,wasm-aot,branch-misses,branch_misses,5,135241.0
llvmss_misc_matmul_f64_4x4,wasm-aot,cpu-cycles,cpu_cycles,5,3195212707.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r00c4,branches_retired,5,158206057.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r01c4,conditional_branches,5,51874444.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r1c0,instructions_retired,5,13293945132.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r81d0,all_loads_retired,5,4160811839.0
llvmss_misc_matmul_f64_4x4,wasm-aot,r82d0,all_stores_retired,5,1906752677.0
llvmss_misc_matmul_f64_4x4,wasm-jit,L1-icache-load-misses,L1_icache_load_misses,5,1112686.0
llvmss_misc_matmul_f64_4x4,wasm-jit,branch-misses,branch_misses,5,151823.0
llvmss_misc_matmul_f64_4x4,wasm-jit,cpu-cycles,cpu_cycles,5,3195576033.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r00c4,branches_retired,5,158951882.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r01c4,conditional_branches,5,52016693.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r1c0,instructions_retired,5,13298033886.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r81d0,all_loads_retired,5,4162005000.0
llvmss_misc_matmul_f64_4x4,wasm-jit,r82d0,all_stores_retired,5,1907559623.0
llvmss_misc_reedsolomon,native,L1-icache-load-misses,L1_icache_load_misses,5,823253.0
llvmss_misc_reedsolomon,native,branch-misses,branch_misses,5,6819851.0
llvmss_misc_reedsolomon,native,cpu-cycles,cpu_cycles,5,10780123074.0
llvmss_misc_reedsolomon,native,r00c4,branches_retired,5,5403610167.0
llvmss_misc_reedsolomon,native,r01c4,conditional_branches,5,338420367.0
llvmss_misc_reedsolomon,native,r1c0,instructions_retired,5,38027049617.0
llvmss_misc_reedsolomon,native,r81d0,all_loads_retired,5,4622112008.0
llvmss_misc_reedsolomon,native,r82d0,all_stores_retired,5,2055030874.0
